x,y,population_density,traffic_flow,competitor_count,is_commercial
37.454.011.884.736.200,39.363.552.027.744.200,66.843.834.361.335.200,11.176.111.396.027.300,1,1
9.507.143.064.099.160,4.734.356.593.750.210,44.473.552.186.103.600,4.900.554.095.089.000,0,0
731.993.941.811.405,8.545.473.932.021.800,1.176.914.042.414.910,7.497.318.989.885.930,0,0
5.986.584.841.970.360,3.400.043.860.598.920,6.077.576.900.817.450,14.728.766.450.460.300,7,1
15.601.864.044.243.600,8.696.496.848.121.710,7.467.250.278.315.760,34.121.789.688.909.000,2,0
15.599.452.033.620.200,8.813.443.097.669.140,25.199.331.231.720.000,32.708.892.462.553.600,0,0
58.083.612.168.199.400,7.767.984.372.086.300,3.597.973.432.190.630,49.365.513.781.846.000,0,0
8.661.761.457.749.350,8.475.476.330.547.360,32.988.630.627.308.200,38.056.447.873.676.800,0,0
6.011.150.117.432.080,18.181.765.283.733.800,27.143.936.510.525.300,14.645.067.514.280.700,0,0
7.080.725.777.960.450,4.303.465.323.722.000,5.713.071.126.098.260,6.764.011.522.492.830,6,1
20.584.494.295.802.400,1.654.997.746.636.550,24.010.776.697.770.500,516.553.794.683.388,0,0
9.699.098.521.619.940,7.066.041.289.942.170,5.405.783.392.222.350,42.934.973.369.277.400,1,0
8.324.426.408.004.210,53.534.776.806.165.600,2.409.517.595.289.810,680.111.757.383.597,0,0
21.233.911.067.827.600,635.323.346.708.321,2.989.955.127.969.150,8.082.048.874.092.280,0,0
18.182.496.720.710.000,19.648.696.695.621.100,7.905.745.242.337.530,48.164.305.737.901.500,0,0
1.834.045.098.534.330,2.117.458.620.524.190,10.117.764.031.683.900,5.452.939.305.894.740,0,1
3.042.422.429.595.370,4.149.732.550.990.630,36.503.586.696.450.200,7.305.214.438.538.550,0,0
52.475.643.163.223.700,3.220.675.351.957.290,654.321.232.790.493,19.287.623.994.036.600,2,1
43.194.501.864.211.500,5.597.446.613.336.740,881.894.584.950.398,16.067.189.096.886.800,5,1
29.122.914.019.804.100,8.579.349.139.973.280,1.309.485.876.697.800,5.611.904.097.018.600,2,0
6.118.528.947.223.790,6.669.274.474.586.800,643.006.018.094.885,1.188.888.136.072.030,4,1
